id,x,y,routeid,distance,accessibility,occupancy,flow,relativeSpeed
632,840553.412,819319.551,37,115,0.013511316,0.136124081,1034.005972,7596.054762
1804,840871.444,819061.827,90,50,0.02944648,0.460813208,516.0894555,1119.953697
105,840622.72,819555.504,5,30,0.019913606,0.226691309,728.6506359,3214.285714
2354,841118.105,819223.531,120,85,0.026417586,0.798195529,275.6646081,345.3597497
2175,840767.12,819253.63,111,35,0.020273897,0.072644132,407.9483265,5615.709304
22,841212.236,819072.101,1,25,0.031280836,0.503899559,1045.603219,2075.023089
1700,840202.515,819541.009,87,165,0.014014936,0.056253457,383.8643679,6823.836038
1283,840854.694,818978.287,69,35,0,0.257666296,960.8936311,3729.217382
2308,840993.957,819293.411,116,110,0.034974965,0.242148276,489.1482656,2020.036131
2252,840973.12,819039.054,114,80,0.0226897,0.409901912,395.0124688,963.675595
239,840756.693,819506.631,12,210,0.00440868,0.166552426,1287.438534,7729.929619
2328,840871.248,819343.885,118,20,0.038219632,0.236441622,790.0118036,3341.255221
1823,840945.528,819119.944,91,30,0.019729788,0.589870834,336.1714474,569.9068813
841,840504.357,819601.371,49,10,0.005807402,0.105948768,556.3099422,5250.744786
433,841259.152,819110.302,25,35,0.04058961,0.652187895,835.4412754,1280.982493
2491,840708.767,819455.159,126,105,0.042763022,0.102434959,474.3426731,4630.671769
1495,841330.593,819171.107,76,25,0.028692973,0.514281143,707.974041,1376.628427
458,841312.052,819269.516,27,30,0.017774108,0.139673244,864.4120364,6188.816198
1075,840746.746,819123.595,58,180,0.017649448,0.607991213,611.0732056,1005.06914
2481,840744.412,819420.099,126,55,0.039280006,0.320123503,1099.706022,3435.255489
2979,840644.75,819368.371,158,90,0.032814796,0.675395046,310.0087107,459.0035308
2062,841186.037,818991.816,103,45,0.017484804,0.298794865,294.7340844,986.4094695
1735,840323.227,819414.914,87,340,0.022460345,0.426261789,250.6174272,587.9425123
2567,840438.647,819536.126,130,70,0.004055713,0.144587719,247.9883747,1715.14134
138,841208.642,819320.33,7,10,0.020601869,0.154635211,796.0084215,5147.653093
2373,840749.863,819345.261,121,55,0.034294725,0.084253782,95.44166625,1132.787917
2201,840859.79,819162.458,111,165,0.028607543,0.066235319,257.2497661,3883.87603
2643,840197.428,819536.327,133,50,0.028551966,0.092324411,889.6295428,9635.908171
159,841000.888,818805.562,9,40,0.018458531,0.379078446,1077.607711,2842.703727
290,840528.027,819534.92,15,20,0.030490787,0.276628662,380.8226695,1376.656589
1336,840605.495,819096.214,70,225,0.007093275,0.084561085,670.3175031,7927.021076
212,840882.056,819456.548,12,75,0.00231668,0.212873862,1180.589831,5545.959572
2041,841283.331,818783.065,102,75,0.028755924,0.308125354,816.2604259,2649.118012
2004,841380.18,818861.775,100,65,0.029872153,0.322568125,900.7361786,2792.390537
394,840862.994,818982.952,23,40,0.015156519,0.111119994,1139.213942,10252.10588
2665,840411.565,819323.7,134,60,0.00253912,0.301607355,720.0096001,2387.24152
2694,840515.099,819222.21,134,205,0.004817419,0.08113151,347.8492653,4287.474333
1107,841591.574,818915.997,59,45,0.023160659,0.077625025,406.4554692,5236.13963
2417,841192.95,819134.088,123,60,0.020036784,0.585128791,346.782946,592.6608827
589,840558.12,819329.285,36,130,0.035709748,0.293075625,1308.32272,4464.113036
1899,841087.46,818704.968,94,35,0.024755006,0.186087133,916.7722304,4926.575083
1850,841048.027,819207.293,91,165,0.025394532,0.885911169,239.221732,270.0290281
2549,840692.09,819332.558,129,130,0.042999915,0.779819733,250.2424638,320.8978348
2091,841279.314,818880.801,103,190,0.022218204,0.209111376,407.0488625,1946.564885
2513,840624.866,819441.322,127,90,0.050327523,0.154089832,572.5930712,3715.969206
1904,840826.466,819362.403,96,5,0.034454629,0.285912773,619.4989197,2166.740972
1868,840769.786,818974.675,92,25,0.022102899,0.757621951,359.4632016,474.4624955
1261,840264.983,819606.235,68,165,0.012372569,0.135113705,1103.404162,8166.485847
1938,841371.989,819027.332,97,130,0.028162697,0.371000228,583.4085745,1572.528883
1754,840590.928,819210.889,88,50,0.00585285,0.276859408,180.2252816,650.9631844
2716,840318.131,819409.371,135,50,0.023312733,0.212115563,719.0245234,3389.77731
2437,841093.566,818892.759,125,20,0.019668469,0.058923674,224.9114411,3816.996236
1210,841464.24,819169.792,67,90,0.023905841,0.536158005,561.4253967,1047.126764
49,841110.531,818988.423,2,60,0.02589329,0.454513207,768.5688198,1690.971369
2461,841170.219,818800.433,125,140,0.024976554,0.085251631,287.5782186,3373.287003
499,841048.761,819391.063,30,115,0.025134336,0.355505908,750.6702413,2111.554898
1015,840710.952,819149.716,57,155,0.002235689,0.335756409,1030.945,3070.514728
2131,840845.738,818926.047,106,40,0.015923054,0.229694265,767.3349764,3340.679736
2393,840669.354,819277.669,122,45,0.047103586,0.445032371,521.8852446,1172.690525
2595,840101.482,819673.679,131,25,0.031714863,0.607767269,611.8898598,1006.783174
1375,840608.676,819100.662,71,95,0.007985444,0.077904972,468.1701018,6009.502204
421,841388.404,819215.531,24,5,0.031532277,0.365093716,1254.590466,3436.351848
