sample_id,x,y,routeid,distance,accessibil
"22",841212.236000000033528,819072.101000000024214,"1","25",0.099341909130574
"49",841110.530999999959022,818988.422999999951571,"2","60",0.098928361086857
"105",840622.719999999972060,819555.503999999957159,"5","30",0.095522009524629
"138",841208.641999999992549,819320.329999999958090,"7","10",0.080424920743511
"159",841000.888000000035390,818805.562000000034459,"9","40",0.085950624207394
"212",840882.055999999982305,819456.547999999951571,"12","75",0.074075165175285
"239",840756.692999999970198,819506.631000000052154,"12","210",0.084674939850554
"290",840528.027000000001863,819534.920000000041910,"15","20",0.103184567755933
"394",840862.993999999947846,818982.952000000048429,"23","40",0.094329210123417
"421",841388.403999999864027,819215.531000000075437,"24","5",0.120047435518837
"433",841259.152000000118278,819110.302000000025146,"25","35",0.122732517753694
"458",841312.052000000025146,819269.515999999945052,"27","30",0.077047255861660
"499",841048.761000000056811,819391.062999999965541,"30","115",0.086775446155779
"589",840558.119999999995343,819329.285000000032596,"36","130",0.113028071424254
"632",840553.412000000011176,819319.550999999977648,"37","115",0.075518876640493
"841",840504.356999999959953,819601.371000000042841,"49","10",0.074869712917409
"1015",840710.952000000048429,819149.716000000014901,"57","155",0.056512275994825
"1075",840746.746000000042841,819123.594999999972060,"58","180",0.100903057178556
"1107",841591.574000000022352,818915.996999999973923,"59","45",0.088882865648657
"1210",841464.239999999990687,819169.792000000015832,"67","90",0.113416247374820
"1261",840264.983000000007451,819606.234999999986030,"68","165",0.083684615711850
"1283",840854.694000000017695,818978.287000000011176,"69","35",0.000000000000000
"1336",840605.494999999995343,819096.214000000036322,"70","225",0.065195400469986
"1375",840608.675999999977648,819100.662000000011176,"71","95",0.096387665404535
"1495",841330.592999999877065,819171.106999999959953,"76","25",0.116062419387753
"1700",840202.515000000013970,819541.008999999961816,"87","165",0.076188568737327
"1735",840323.226999999955297,819414.913999999989755,"87","340",0.090007368775619
"1754",840590.927999999956228,819210.889000000082888,"88","50",0.062870019046235
"1804",840871.444000000017695,819061.827000000048429,"90","50",0.114966232167025
"1823",840945.528000000049360,819119.944000000017695,"91","30",0.073356013908109
"1868",840769.786000000080094,818974.674999999930151,"92","25",0.116309378669749
"1899",841087.459999999962747,818704.967999999993481,"94","35",0.096674926319633
"1904",840826.466000000014901,819362.403000000049360,"96","5",0.102804479738038
"1938",841371.988999999943189,819027.332000000169501,"97","130",0.111942746264986
"2004",841380.180000000051223,818861.775000000023283,"100","65",0.104400585031535
"2041",841283.331000000005588,818783.064999999944121,"102","75",0.096270662913492
"2062",841186.037000000011176,818991.815999999991618,"103","45",0.081813624933968
"2091",841279.314000000013039,818880.800999999977648,"103","190",0.092925781826782
"2131",840845.738000000012107,818926.047000000020489,"106","40",0.103763873951915
"2175",840767.119999999878928,819253.630000000004657,"111","35",0.103539215993114
"2201",840859.790000000037253,819162.457999999984168,"111","165",0.113495919180287
"2252",840973.119999999995343,819039.053999999887310,"114","80",0.094743179569155
"2308",840993.957000000053085,819293.410999999963678,"116","110",0.094331159864613
"2328",840871.248000000021420,819343.885000000009313,"118","20",0.101930973685244
"2354",841118.104999999981374,819223.531000000075437,"120","85",0.084045317050984
"2373",840749.863000000012107,819345.261000000056811,"121","55",0.102595120977212
"2393",840669.354000000050291,819277.668999999994412,"122","45",0.122876101735796
"2417",841192.949999999953434,819134.087999999988824,"123","60",0.076523539313499
"2437",841093.565999999991618,818892.758999999961816,"125","20",0.077228343055330
"2461",841170.219000000040978,818800.432999999960884,"125","140",0.085139365740315
"2481",840744.412000000011176,819420.099000000045635,"126","55",0.109502682320186
"2491",840708.766999999992549,819455.158999999985099,"126","105",0.112754183905025
"2513",840624.866000000038184,819441.322000000043772,"127","90",0.119360412338366
"2549",840692.089999999967404,819332.557999999960884,"129","130",0.120222628434024
"2567",840438.646999999997206,819536.126000000047497,"130","70",0.069379045461568
"2595",840101.481999999959953,819673.679000000003725,"131","25",0.083485011850853
"2643",840197.427999999956228,819536.327000000048429,"133","50",0.071764878418679
"2665",840411.564999999827705,819323.699999999953434,"134","60",0.081459088607644
"2694",840515.099000000045635,819222.209999999962747,"134","205",0.093693542838024
"2716",840318.130999999935739,819409.371000000042841,"135","50",0.061991644999419
"2979",840644.750000000000000,819368.371000000042841,"158","90",0.095440388251029
"1850",841048.027000000001863,819207.292999999946915,"91","165",0.082252493379292
