sampleid,x,y,accessibility
1,839454.1307814872,822280.3628770662,0.19252145776943044
2,837511.137384604,821827.7440865082,0.13181286833010955
3,838308.3878063582,822941.6674096059,0.19488018236100837
4,838197.8115869958,821494.0041163948,0.10654212495012465
5,837142.9709275316,822232.3553693243,0.12577066914255827
6,838391.2081318452,823090.905097345,0.16826377812207846
7,838357.8733910903,821952.5559209513,0.0969365023052539
8,838490.7345946031,822810.7483197796,0.20889482263093628
9,838777.3640384964,823121.2931654361,0.10815557213164406
10,838874.5014416911,822386.6930509607,0.125179572597322
11,838139.404103956,822478.2754049925,0.13573744653512096
12,837335.0897643432,822139.615847435,0.15165843637552023
13,838056.3420552913,822767.2839486876,0.15443923895356715
14,838490.7345946031,822810.7483197796,0.20889482263093628
15,838327.3936931647,822550.3877341872,0.180489378318297
16,838874.5014416911,822386.6930509607,0.125179572597322
17,837933.2059059897,822542.3120528338,0.09564787055877394
18,837335.0897643432,822139.615847435,0.15165843637552023
19,840172.5925708816,821637.6665093001,0.023553609644242537
20,838060.1868102403,822479.2072837495,0.11938672468384366
21,839664.0355032859,821658.5532528473,0.06130428466311988
22,838874.5014416911,822386.6930509607,0.125179572597322
23,837821.3971112921,821502.2226243077,0.10166759416554885
24,839589.8742658062,821697.6819798617,0.08051637052050273
25,838431.9401216835,822780.4650401116,0.2113326442857332
26,838366.9694373984,822411.3099017823,0.15165658457086953
27,838294.4397252203,821685.3220230722,0.11040121661014246
28,838075.534757892,822487.9903516595,0.12434112558172732
29,838776.317518214,823095.5249459193,0.11275429803447679
30,838874.5014416911,822386.6930509607,0.125179572597322
31,838517.9436599249,822784.2422817225,0.20816532432348256
32,838874.5014416911,822386.6930509607,0.125179572597322
33,838126.4494095386,821926.6144650398,0.1113708973963551
34,838780.1354001848,823118.7024139027,0.10781369534467738
35,838046.8835115066,822068.0689920898,0.09760296003054872
36,838518.3982227087,822207.7338440932,0.10913439525295271
37,838064.4963423244,821826.5692386071,0.11948150200350006
38,838053.8326172119,822106.8602400023,0.09043531215954817
39,838776.317518214,823095.5249459193,0.11275429803447679
40,838687.5962300379,822696.532487715,0.17436154171920262
41,838064.4963423244,821826.5692386071,0.11948150200350006
42,837681.0658421172,822832.4459290652,0.032656501576764606
43,838892.9415465796,822017.9819784214,0.0951906186659527
44,838431.9185883403,822787.1312855837,0.21113092463108782
45,838874.5014416911,822386.6930509607,0.125179572597322
46,837335.0897643432,822139.615847435,0.15165843637552023
47,839588.3762570133,822631.6424421342,0.12760846451100388
48,838874.5014416911,822386.6930509607,0.125179572597322
49,837335.0897643432,822139.615847435,0.15165843637552023
51,838951.2058160341,821849.5309131711,0.06361476411318404
52,838231.392919136,821681.2167162966,0.11430133277214921
53,837335.0897643432,822139.615847435,0.15165843637552023
54,838317.0626588335,822697.4867439173,0.19708759260122527
55,839157.5082283512,821795.7508179706,0.08990347356310145
56,838735.9685207034,823032.8092015409,0.13311789257615148
57,838778.2850001886,823095.4809705135,0.11219004452198987
58,838460.5854050929,823013.964970188,0.18294390924195458
59,838707.0119812634,822709.0707352551,0.17049232217194582
60,838471.770147157,822014.7825800938,0.09277732156492001
61,838508.4605798593,822754.8296853387,0.20939527943960004
62,838431.9185883403,822787.1312855837,0.21113092463108782
63,838412.7612832665,822915.88024424,0.20061917204409976
64,838366.9694373984,822411.3099017823,0.15165658457086953
65,839274.419603877,822398.2818876031,0.19094860714691164
66,839157.5082283512,821795.7508179706,0.08990347356310145
67,839483.6700337232,822455.0644823048,0.1735168180947037
68,838046.8835115066,822068.0689920898,0.09760296003054872
69,838562.9294121346,822153.1148228339,0.09797289477104114
70,838266.8953240601,822542.4068905558,0.17024110122803743
71,837335.0897643432,822139.615847435,0.15165843637552023
72,837927.3596629148,822881.2159321246,0.11192686569045561
73,838060.1868102403,822479.2072837495,0.11938672468384366
74,838663.9794328685,822538.6428470577,0.15831547798540796
75,837335.0897643432,822139.615847435,0.15165843637552023
76,838874.5014416911,822386.6930509607,0.125179572597322
77,838327.2972653585,822345.83806144,0.132204799934661
78,838718.5128445245,822027.4434082103,0.08006383407402458
79,838868.7245753093,823110.1572086492,0.08131721424257196
80,837335.0897643432,822139.615847435,0.15165843637552023
81,839532.4492146472,822639.703148491,0.1304901937128573
82,837915.3268579873,821923.8554226395,0.11862394632342829
83,839483.6700337232,822455.0644823048,0.1735168180947037
84,838060.1868102403,822479.2072837495,0.11938672468384366
86,839477.364064212,821865.2445041542,0.1357151492492634
