sample_id,x,y,routeid,distance,accessibility
22,841212.236,819072.101,1,25,0.05151732114434294
49,841110.531,818988.423,2,60,0.04118640041328067
105,840622.72,819555.504,5,30,0.030711803177626
138,841208.642,819320.33,7,10,0.03081588642213174
159,841000.888,818805.562,9,40,0.031938549483688475
212,840882.056,819456.548,12,75,0.002788019055243377
239,840756.693,819506.631,12,210,0.008991040662112596
290,840528.027,819534.92,15,20,0.04644063077745942
394,840862.994,818982.952,23,40,0.02254194457104395
421,841388.404,819215.531,24,5,0.04469812821531064
433,841259.152,819110.302,25,35,0.06466221012544023
458,841312.052,819269.516,27,30,0.025612880425189968
499,841048.761,819391.063,30,115,0.03741871215025154
589,840558.12,819329.285,36,130,0.05215251556027612
632,840553.412,819319.551,37,115,0.020225298657740982
841,840504.357,819601.371,49,10,0.008921162142204914
1015,840710.952,819149.716,57,155,0.0046527016596768864
1075,840746.746,819123.595,58,180,0.026397193455693285
1107,841591.574,818915.997,59,45,0.04842464413128797
1210,841464.24,819169.792,67,90,0.03354180932861944
1261,840264.983,819606.235,68,165,0.01807039276379867
1283,840854.694,818978.287,69,35,0.0
1336,840605.495,819096.214,70,225,0.011626598248263226
1375,840608.676,819100.662,71,95,0.011888266549734823
1495,841330.593,819171.107,76,25,0.04431083030309649
1700,840202.515,819541.009,87,165,0.02112765144095832
1735,840323.227,819414.914,87,340,0.03251936627803441
1754,840590.928,819210.889,88,50,0.00973902547850283
1804,840871.444,819061.827,90,50,0.042826554875457425
1823,840945.528,819119.944,91,30,0.02885709133753399
1850,841048.027,819207.293,91,165,0.03753288957973494
1868,840769.786,818974.675,92,25,0.03217716228889734
1899,841087.46,818704.968,94,35,0.04432280185306616
1904,840826.466,819362.403,96,5,0.048810680445982295
1938,841371.989,819027.332,97,130,0.04334670393098904
2004,841380.18,818861.775,100,65,0.05827593547708739
2041,841283.331,818783.065,102,75,0.05606475017840159
2062,841186.037,818991.816,103,45,0.034654069985455546
2091,841279.314,818880.801,103,190,0.04472487051889657
2131,840845.738,818926.047,106,40,0.022617838269981774
2175,840767.12,819253.63,111,35,0.029446195025620077
2201,840859.79,819162.458,111,165,0.04060752338642035
2252,840973.12,819039.054,114,80,0.03536816225738053
2308,840993.957,819293.411,116,110,0.05066319184735009
2328,840871.248,819343.885,118,20,0.05567193298195908
2354,841118.105,819223.531,120,85,0.03872853955232528
2373,840749.863,819345.261,121,55,0.048599280440805526
2393,840669.354,819277.669,122,45,0.06775423560634478
2417,841192.95,819134.088,123,60,0.029730798949182353
2437,841093.566,818892.759,125,20,0.036917877658434156
2461,841170.219,818800.433,125,140,0.04755617290534015
2481,840744.412,819420.099,126,55,0.055667504860854776
2491,840708.767,819455.159,126,105,0.06182850921350422
2513,840624.866,819441.322,127,90,0.07358343373188839
2549,840692.09,819332.558,129,130,0.0617651149960137
2567,840438.647,819536.126,130,70,0.0045540574729080055
2595,840101.482,819673.679,131,25,0.04459648408580175
2643,840197.428,819536.327,133,50,0.04059101029153686
2665,840411.565,819323.7,134,60,0.0038104622093449543
2694,840515.099,819222.21,134,205,0.008178348648540293
2716,840318.131,819409.371,135,50,0.03387055840776759
2979,840644.75,819368.371,158,90,0.050813041598738805
