W0NE,General Post Office,,GENERAL POST OFFICE,3446816065T20050430,816075,834475
W0SE,Jardine House,,JARDINE HSE,3444516024T20050430,816013,834441
W0SW,Two Exchange Square,,TWO EXCHANGE SQUARE,3433916108T20050430,816113,834349
W0NW,IFC Mall,,IFC MALL,3432516207T20050430,816199,834328
W1NE,,
W1SE,Chater House,,CHATER HOUSE,3437915919T20050430,815927,834367
W1SW,,
W1NW,World Wide House,,WORLD WIDE HSE,3430115966T20050430,815961,834299
W2NE,Chinachem Tower,,CHINACHEM TOWER,3422016110T20050430,816102,834217
W2SE,55 DES VOEUX ROAD CENTRAL,,HIP SHING HONG CENTRE,3421116068T20050430,816063,834206
W2SW,42 DES VOEUX ROAD CENTRAL,,TUNG MING BUILDING,3418516038T20050430,816032,834183
W2NW,6 POTTINGER STREET,,LAP FAI BUILDING,3413516055T20050430,816047,834145
W3NE,Southland Building,,SOUTHLAND BUILDING,3412416231T20140603,816230,834123
W3SE,Hang Seng Bank Headquarters,,HANG SENG BANK HEADQUARTERS' BUILDING,3413016183T20050430,816191,834141
W3SW,Central 88,,CENTRAL 88,3405416208T20050430,816199,834056
W3NW,Hung Tak Building,,HUNG TAK BUILDING,3403716230T20050430,816222,834035
W4NE,Nan Fung Tower,,NAN FUNG TOWER,3396016363T20050430,816343,833951
W4SE,,
W4SW,Cheungs Building,,CHEUNGS BUILDING,3389716308T20050430,816305,833895
W4NW,Li Po Chun Chambers,,LI PO CHUN CHAMBERS,3391716388T20050430,816377,833910
W5NE,Blissful Building,,BLISSFUL BUILDING,3373716417T20050430,816421,833739
W5SE,88 Commercial Building,,88 COMMERCIAL BUILDING,3373816360P20060312,816360,833738
W5SW,Tung Hip Commercial Building,,TUNG HIP COMMERCIAL BUILDING,3371816385T20050430,816378,833723
W5NW,Tung Ning Building,,TUNG NING BUILDING,3373016438P20060312,816438,833730
W6NE,Kai Tak Commercial Building,,KAI TAK COMMERCIAL BUILDING,3356916504T20050430,816482,833568
W6SE,FWD Financial Centre,,FWD FINANCIAL CENTRE,3356816428T20050430,816418,833564
W6SW,Western Exchange Building,,WEST EXCHANGE TOWER,3352416430T20050430,816426,833519
W6NW,Western Market,,WESTERN MARKET,3353216474T20050430,816490,833536
W7NE,,
W7SE,21 CONNAUGHT ROAD WEST,,SEAVIEW COMMERCIAL BUILDING,3341016523T20050430,816533,833415
W7SW,B2B Centre (Connaught Harbourfront House),,CONNAUGHT HARBOURFRONT HOUSE,3336316548T20050430,816545,833363
W7NW,,
W8NE,Wui Tat Centre,,WUI TAT CENTRE,3325016582T20050430,816579,833249
W8SE,Kingdom Power Commercial Building,,KINGDOM POWER COMMERCIAL BUILDING,3321216511T20050430,816505,833220
W8SW,Western Centre,,WESTERN CENTRE,3318216518T20050430,816505,833183
W8NW,Sing Kui Commercial Building,,SING KUI COMMERCIAL BUILDING,3318516544T20050430,816554,833186
W9NE,Chiu Chow Association Building,,CHIU CHOW ASSOCIATION BUILDING,3303616558T20050430,816566,833039
W9SE,,
W9SW,ava128,,AVA 128,3298216528P20161117,816527,832982
W9NW,Lucky Commerical Centre,,LUCKY COMMERCIAL CENTRE,3298416570T20050430,816569,832983
W10NE,Tak Tung House,,TAK TUNG HOUSE,3284216568T20050430,816573,832842
W10SE,Luen Tak Building,,LUEN TAK BUILDING,3282716540T20050430,816534,832828
W10SW,Wai Tak Building,,WAI TAK BUILDING,3278416542T20050430,816535,832787
W10NW,Wing Fat Mansion,,WING FAT MANSION,3279116569T20050430,816575,832792
W11NE,Tak May House,,TAK MAY HOUSE,3262316575T20050430,816582,832627
W11SE,Tung Che Commercial Centre,,TUNG CHE COMMERCIAL CENTRE,3263716542T20050430,816541,832638
W11SW,Ching Tak Building,,CHING TAK BUILDING,3260316549T20050430,816540,832606
W11NW,251 DES VOEUX ROAD WEST,,WAH LAP HOUSE,3259716576T20050430,816582,832600
W12NE,295 DES VOEUX ROAD WEST,,TIN HING MANSION,3242116543T20050430,816551,832419
W12SE,Siu Cheung Building,,SIU CHEUNG BUILDING,3243316497P20060312,816497,832432
W12SW,Merit Court,,MERIT COURT,3240716496T20050430,816495,832406
W12NW,Bohemian House,,BOHEMIAN HOUSE,3236916535P20170223,816534,832369
W13NE,Kwan Yick Building Phase 2 Shopping Arcade,,?,3225216517P20060312,816518,832250
W13SE,Chung Ah Mansion,,CHUNG AH BUILDING,3223316459T20050430,816455,832237
W13SW,Lucky Building,,LUCKY BUILDING,3220816451T20050430,816444,832213
W13NW,Upton (???),,UPTON,3217516509T20150615,816510,832174
W14NE,Lun Fung Court,,LUN FUNG COURT,3209316457T20050430,816450,832078
W14SE,408 DES VOEUX ROAD WEST,,?,3207016411T20050430,816402,832073
W14SW,Pacific Plaza,,PACIFIC PLAZA,3202116412T20050430,816411,832017
W14NW,"Hong Kong Plaza, 188 Connaught Road West",,HONG KONG PLAZA,3204216477T20050430,816468,832047
W15NE,,
W15SE,Mei Sun Lau,,?,3183916450T20050430,816431,831838
W15SW,Hong Kong Industrial Building,,HONG KONG INDUSTRIAL BUILDING,3179316460T20050430,816453,831793
W15NW,,
W16NE,Wo Fat Building,,WO FAT BUILDING,3171516434P20060312,816433,831715
W16SE,Sum Way Mansion,,SUM WAY MANSION,3168416404T20050430,816399,831695
W16SW,,
W16NW,,
